"id","pertanyaan","jawaban","sumber"
"15","Apa jentik bisa hidup di air bersih?","""Bisa banget! Nyamuk Aedes aegypti justru suka air bersih yang tergenang lama, bukan air kotor.""","""Kemenkes RI – Gerakan Satu Rumah Satu Jumantik"""
"16","Kalau udah nemu jentik","dilaporinnya ke siapa?,""Kamu bisa lapor ke kader Jumantik RT/RW, atau langsung ke grup WA lingkungan supaya dicatat dan dilaporkan ke Puskesmas.""","""Dinas Kesehatan Kota Depok – Sistem Laporan Jumantik"""
"17","Apa gunanya laporan jentik dari warga?","""Laporan warga bantu kelurahan tahu lokasi rawan DBD dan bisa cepat ambil tindakan, kayak penyuluhan atau fogging fokus.""","""Germas – Partisipasi Warga dalam Pencegahan DBD"""
"18","Kapan sih waktu terbaik buat periksa jentik?","""Idealnya seminggu sekali, apalagi setelah hujan. Jangan tunggu banyak nyamuk baru mulai periksa!""","""Kemenkes RI – Satu Rumah Satu Jumantik"""
"19","Kalau lagi musim hujan","apa yang harus dilakukan biar gak ada jentik?,""Periksa semua wadah air di rumah, tutup rapat, dan buang genangan di halaman. Nyamuk suka banget bertelur setelah hujan!""","""Kemenkes RI – Edukasi PSN Musim Hujan"""
"20","Apakah fogging cukup buat mencegah DBD?","""Fogging cuma bunuh nyamuk dewasa, bukan jentiknya. Jadi tetap harus rutin 3M Plus dan pemeriksaan jentik di rumah.""","""Dinas Kesehatan Tangerang Selatan – Panduan PSN"""
"21","Mengapa genangan kecil juga bisa berbahaya?","""Karena telur nyamuk bisa nempel di dinding wadah sekecil tutup botol, dan bisa hidup sampai berbulan-bulan.""","""Kemenkes RI – Edukasi Masyarakat DBD"""
"22","Bagaimana cara kelurahan tahu daerah yang harus difogging?","""Dari laporan Jumantik dan warga. Kalau ditemukan banyak jentik atau ada kasus DBD, petugas akan jadwalkan fogging fokus.""","""Dinkes Sleman – SOP Fogging"""
"23","Siapa yang ngumpulin data hasil pemeriksaan jentik?","""Kader Jumantik setor datanya ke koordinator kelurahan, lalu dikirim ke Puskesmas buat direkap tiap minggu.""","""Dinkes DKI Jakarta – Buku Laporan Jumantik"""
"24","Apakah warga bisa lihat hasil laporan jentik di wilayahnya?","""Biasanya bisa! Laporan ditempel di papan informasi kelurahan atau dibagikan lewat grup warga tiap minggu.""","""Dinas Kesehatan Surabaya – Monitoring Jumantik"""
"25","Bagaimana kelurahan menindaklanjuti rumah yang belum diperiksa?","""Koordinator Jumantik akan koordinasi dengan RT untuk memastikan rumah itu dikunjungi lagi minggu berikutnya.""","""Dinkes Kota Bandung – SOP Jumantik"""
"26","Ada gak sih aplikasi buat laporan jentik secara online?","""Beberapa daerah udah punya aplikasi kayak e-Jumantik buat input hasil pemeriksaan langsung dari HP kader.""","""Kemenkes RI – Sistem Informasi DBD Nasional"""
"27","Kenapa data Jumantik penting buat pemerintah?","""Data jentik bantu Dinas Kesehatan memetakan wilayah rawan, bikin program PSN lebih tepat sasaran, dan menekan kasus DBD.""","""Kemenkes RI – Laporan Tahunan DBD"""
"28","Apa yang dilakukan kalau warga menolak diperiksa?","""Kader akan mendekati warga dengan cara persuasif dan memberi edukasi tentang pentingnya pemeriksaan jentik demi kesehatan bersama.""","""Dinkes Kota Bekasi – Panduan Lapangan Jumantik"""
"29","Apa hubungan Jumantik dengan program PSN 3M Plus?","""Jumantik adalah pelaksana utama di lapangan untuk memastikan program PSN 3M Plus berjalan di rumah warga.""","""Kemenkes RI – Program Pemberantasan DBD"""
"30","Apa yang harus disiapkan sebelum pemeriksaan Jumantik?","""Pastikan wadah air bersih bisa diakses, tidak tertutup rapat, dan lingkungan rumah dalam keadaan terang agar pemeriksaan jentik mudah dilakukan.""","""Dinas Kesehatan Jawa Tengah – Panduan Kader"""
"31","Bagaimana kelurahan menilai keberhasilan kegiatan Jumantik?","""Dilihat dari hasil laporan bebas jentik, penurunan kasus DBD, dan partisipasi warga dalam kegiatan PSN.""","""Kemenkes RI – Evaluasi Kinerja Jumantik"""
"32","Apakah kegiatan Jumantik berbayar?","""Tidak. Semua kegiatan Jumantik berbasis gotong royong dan sukarela, meskipun beberapa daerah memberikan insentif kecil.""","""Dinkes Kabupaten Sleman – Buku Panduan Jumantik"""
"33","Bagaimana peran sekolah dalam mendukung program Jumantik?","""Sekolah bisa membentuk Jumantik Cilik yang bertugas memantau kebersihan lingkungan sekolah dan memberi edukasi ke teman-temannya.""","""Kemenkes RI – Program Jumantik Cilik"""
"34","Apakah warga boleh ikut memeriksa rumah tetangga?","""Boleh jika sudah mendapat izin dan melakukannya dengan sopan. Tujuannya membantu lingkungan tetap bebas jentik.""","""Germas – Partisipasi Warga Sehat"""
"35","Bagaimana cara mengisi laporan hasil pemeriksaan jentik?","""Gunakan formulir dari kelurahan atau aplikasi e-Jumantik, isi jumlah wadah yang diperiksa, jumlah jentik ditemukan, dan tindakan yang diambil.""","""Dinkes Kota Depok – Buku Panduan Jumantik"""
"36","Apakah data Jumantik bisa digunakan untuk penelitian?","""Bisa, asalkan data sudah disetujui oleh kelurahan dan Dinas Kesehatan setempat untuk menjaga privasi warga.""","""Kemenkes RI – Kebijakan Data Kesehatan"""
"37","Bagaimana kelurahan menindak rumah yang selalu ditemukan jentik?","""Biasanya akan ada kunjungan khusus, penyuluhan lanjutan, atau kerja bakti bersama agar masalah jentik bisa diatasi.""","""Dinas Kesehatan Kota Bandung – SOP Jumantik"""
"38","Apakah ada penghargaan untuk warga aktif sebagai Jumantik?","""Beberapa daerah memberi piagam atau hadiah kecil untuk warga yang aktif jadi kader Jumantik teladan.""","""Kemenkes RI – Penghargaan Kader Kesehatan"""
"39","Apa hubungan Jumantik dengan kegiatan Posyandu?","""Kader Jumantik dan Posyandu sering bekerja sama dalam sosialisasi kesehatan dan pemantauan lingkungan.""","""Germas – Kolaborasi Kader Kesehatan"""
"40","Bagaimana melaporkan hasil pemeriksaan ke Puskesmas?","""Kader biasanya mengisi formulir mingguan dan menyerahkannya ke koordinator yang lalu dikirim ke Puskesmas setempat.""","""Dinas Kesehatan DKI Jakarta – Buku Panduan Lapangan"""
"41","Apa yang dilakukan jika ditemukan banyak jentik di satu RT?","""Kelurahan akan berkoordinasi dengan Dinas Kesehatan untuk mengadakan kerja bakti massal dan edukasi warga.""","""Kemenkes RI – Tindakan Penanggulangan DBD"""
"42","Apakah anak-anak bisa ikut pelatihan Jumantik?","""Bisa! Biasanya lewat program Jumantik Cilik di sekolah agar anak-anak paham sejak dini pentingnya menjaga kebersihan lingkungan.""","""Dinkes Kabupaten Tangerang – Edukasi Kader Cilik"""
"43","Kenapa penting melibatkan RT/RW dalam kegiatan Jumantik?","""RT/RW membantu koordinasi dan pendataan rumah, serta memastikan semua warga ikut berpartisipasi.""","""Dinkes Kota Surabaya – Panduan PSN"""
"44","Bagaimana cara membuat laporan mingguan Jumantik yang baik?","""Pastikan datanya lengkap: jumlah rumah diperiksa, jumlah wadah berjentik, dan tindakan perbaikan yang dilakukan.""","""Kemenkes RI – Panduan Monitoring Jumantik"""
"45","Bagaimana kader Jumantik menjaga motivasi agar tetap aktif?","""Dengan rutin diberi umpan balik positif dari kelurahan, pelatihan, dan apresiasi kecil dari warga.""","""Germas – Pemberdayaan Kader Kesehatan"""
"46","Apakah Jumantik bekerja sama dengan petugas fogging?","""Ya, kader Jumantik memberi data lokasi jentik untuk dijadikan acuan area fogging.""","""Kemenkes RI – SOP Fogging Terpadu"""
"47","Apa yang harus dilakukan kalau data Jumantik tidak lengkap?","""Koordinator kelurahan akan mengingatkan kader yang belum mengisi dan membantu menyelesaikan datanya.""","""Dinas Kesehatan Depok – Monitoring Jumantik"""
"48","Apakah semua warga wajib jadi Jumantik?","""Tidak wajib, tapi dianjurkan. Minimal satu orang di tiap rumah ditunjuk untuk memantau jentik secara rutin.""","""Kemenkes RI – Satu Rumah Satu Jumantik"""
"49","Siapa yang bertanggung jawab atas keberhasilan program Jumantik di kelurahan?","""Lurah bersama koordinator kader dan Puskesmas memiliki tanggung jawab bersama dalam memantau dan mengevaluasi program.""","""Dinkes DKI Jakarta – Buku Pedoman Pelaksanaan"""
"50","Apa manfaat langsung bagi warga yang aktif sebagai Jumantik?","""Selain ikut menjaga kesehatan lingkungan, warga jadi lebih waspada terhadap DBD dan menularkan kebiasaan bersih kepada tetangga.""","""Germas – Hidup Bersih dan Sehat"""
